Designation 
Pipe Fitter 
Pipefitter
Project Supervisor
Mechanical Foreman1
Pipefitter
Fire Sealant Applicator
Helper
Fire Sealant Applicator
Fire Alarm Technician
Helper
Project Supervisor
Assistant Electrician Foreman
Assistant Electrician
 Electrician
Pipefitter
Project Supervisor
Electrician
Pipefitter
Fire Sealant Applicator
Helper
Project Supervisor
Pipefitter
Pipefitter
Pipefitter
Painter
Project Supervisor
Mechanical Foreman 
Pipefitter
Pipefitter
Pipefitter
Electrician
Electrician
Sr. Fa Technician 
Electrician
Helper
Electrician
Electrician
Project Supervisor
Pipe Fitter 
Pipe Fitter 
Pipe Fitter 
Pipe Fitter 
Painter
Fire Alarm Technician
Pipe Fitter 
Sr. Mechanical Foreman
Pipefitter
Pipe Fitter 
Pipe Fitter 
Fire Sealant Applicator
Electrician
Fire Alarm Technician 
Electrician in EI & C
Fire Alarm Electrician
Helper
Fire Alarm Technician 
